name
Continuous Seed Treating Machine
Cylindrical Needle Sorter CNS 100
Easy Dump Elevator
Continuous Cup Z Elevators
Continous Polishers
Chain Conveyor
Bucket Elevators
Big Bag Scale - Above Ground Weighing
Big Bag Scale-On Ground Weighing
Batch Type Seed Coating Machine
AKYUREKEXCELL 33 Screen Cleaner Grader
Шнековые конвейеры
Шлюзовой клапан ALV-52
ШЕЛУШИТЕЛЬ АРАХИСА
Циклоны
Цилиндрические просеивающие машины CSL 90x500
Центробежный вентилятор
Фильтры типа Jet AKJF
Фасовочно-упаковочная машина с четырьмя весовыми дозаторами С.KTR-017-PLC - 5 до 50 кг.
Фасовочно-упаковочная машина с одним весовым дозатором С.KTR-017-PLC - 5 до 50 кг.
Фасовочно-Упаковочная Машина
Универсальные предварительные очистители Excell
Сушилки
Телескопическая лента Teles. Belt 180
Супер интенсивный очиститель Excell серии 200
Супер интенсивные очистители Excell 230
Супер интенсивный очиститель Excell 240
Сортировщик чая
Сортировщик по цвету с ременным принципом работы
Супер интенсивные очистители Excell 210
Ситовой вибрационный сепаратор 50 x 80 C.SAS 013
Сепаратор арахиса по плотности
Семеннорушительная машина ударного типа DE-HULL-038
Семенной очиститель сита 380 Jog Screen Cleaner
Протравливатель
Предварительный Очиститель Барабанного Типа
Порционный робот
Предварительный интенсивный очиститель с шестью решетными станками C.O.TEM-004
Полуавтоматические весы Double Scale Net Weigher Bagger-5 to 50 kg
Полировальная машина
Остеоломатель K.KRAN-054
Оптический сортировщик SORTURK C-7
Остеоломатель EXCELL 150
Оптический сортировщик SORTURK C-4
Оптический сортировщик SORTURK C-3
Оптический сортировщик SORTURK C-1
Оптический сортировщик C-2
Нагнетатель
Оптический сортировщик SORTURK C-5
Маятниковый ковшовый элеватор
Лущилка арахиса
Линейные весы для мультизадачности
Конвеер ленточный наклонный Y.BELT-0014
Конвеерная лента
Комбинированный очиститель с шестью решетными станками O.MAC-001
Калибровочные очистители Excell серии 220
Камнеотделитель T.MAC-009
Калибровочная машина с шестью решетными станками B.MAC-007-6
Калибровочная машина с одним решетным станком B.MAC-007-1
Калибровочная машина с тремя решетными станками B.MAC-007-3
Калибровочная машина с двумя решетными станками B.MAC-007-2
Калибровочная Машина B.MAC-007-5
Калибровачная машина с четырьмя решетными станками B.MAC-007-4
ИНТЕНСИВНОЙ ОЧИСТИТЕЛЬ С ТРЕМЯ РЕШЕТНЫМИ СТАНАМИ O.TEM-005-3
ИНТЕНСИВНОЙ ОЧИСТИТЕЛЬ С ОДНИМ РЕШЕТНЫМ СТАНОМ O.TEM-005-1
ИНТЕНСИВНОЙ ОЧИСТИТЕЛЬ С ДВУМЯ РЕШЕТНЫМИ СТАНАМИ O.TEM-005-2
Инспекционный конвеерный стол S.BELT-0011
Гравитационный сепаратор G-MAC-010
Горизонтальный Шелушитель SPLT 400
Вибрационный Сепаратор C.SAS -013
Воздушный Сепаратор Zig Zag
Весы Производительности RDKTR-017
Вертикальный Шелушитель SPLT 340
Аспирационная Камера
Бункеры Для Хранения Продукции
Аспиратор с Замкнутым Циклом Воздуха ARA
Velvet Roller
Wire Mesh Pre Cleaner
Spiral Separator
Puls Hull Split
Sesame Peeler – SP-4000
Rotary Drum Seed Cleaner
Plant Automation
Peanut Sheller
Outdoor Storage Silos
Modular Pipework Systems
Magnet Separators
Mechanic Scale In-Bag Gross Weigher-25 to 50 kg
Jog Conveyor
Hand Screen Set
Impact Dehuller ID-900
Hammer Mills
Excell 60 Series Fine Screen Cleaners
Electronic Scale –In-Bag- Net Weigher - 5 to 50 kg
Excell 50 Series Super Fine Screen Cleaners
